Frame start,End,Bin,Total frames
140,153,1,13
240,255,1,15
252,270,1,18
357,372,1,15
373,387,1,14
476,489,1,13
489,503,1,14
594,607,1,13
608,620,1,12
711,722,1,11
723,732,1,9
829,841,1,12
946,958,1,12
958,969,1,11
1064,1074,1,10
1075,1085,1,10
1183,1191,1,8
842,853,1,11
154,161,2,7
233,239,2,6
271,278,2,7
350,357,2,7
389,395,2,6
469,476,2,7
504,511,2,7
586,593,2,7
621,628,2,7
702,710,2,8
733,745,2,12
820,828,2,8
854,862,2,8
937,945,2,8
970,979,2,9
1054,1063,2,9
1086,1095,2,9
1171,1182,2,11
162,167,3,5
226,232,3,6
279,284,3,5
344,350,3,6
396,402,3,6
462,468,3,6
511,518,3,7
579,585,3,6
629,635,3,6
695,701,3,6
746,753,3,7
812,819,3,7
863,870,3,7
929,936,3,7
980,987,3,7
1046,1053,3,7
1096,1104,3,8
1163,1170,3,7
168,173,4,5
220,226,4,6
285,291,4,6
338,344,4,6
403,408,4,5
455,461,4,6
519,525,4,6
572,578,4,6
635,642,4,7
688,694,4,6
754,760,4,6
805,811,4,6
871,878,4,7
921,928,4,7
988,995,4,7
1038,1045,4,7
1105,1111,4,6
1155,1162,4,7
174,180,5,6
213,219,5,6
292,298,5,6
330,337,5,7
408,416,5,8
447,454,5,7
526,533,5,7
563,571,5,8
643,650,5,7
680,687,5,7
761,769,5,8
796,804,5,8
879,887,5,8
912,920,5,8
996,1004,5,8
1028,1037,5,9
1112,1121,5,9
1145,1154,5,9
181,194,6,13
201,212,6,11
299,309,6,10
416,446,6,30
534,549,6,15
550,562,6,12
650,666,6,16
666,679,6,13
770,783,6,13
784,795,6,11
888,898,6,10
899,911,6,12
1005,1016,6,11
1017,1027,6,10
1122,1134,6,12
1135,1143,6,8
